Unit,Term,Definition
,Properties of Water,High specific heat capacity,Water's ability to absorb a lot of energy without heating up very much.
,Properties of Water,Polarity,"Water has two highly charged positive and negative ends, allowing it to bond with itself and other molecules that share this property."
,Properties of Water,Cohesion,Water's attraction to itself.
,Properties of Water,Adhesion,Water's attraction to other polar molecules.
,Properties of Water,pH,"The measure of the concentration of free hydrogen ions in a solution, also called acidity or alkalinity."
,Properties of Water,Hydrophobic,A non-polar molecule which repels water.
,Properties of Water,Hydrophilic,A polar molecule which attracts water.
,Properties of Water,Water Potential,"A measure of the potential energy of water, which indicates its tendency to move due to osmosis. Found by adding solute potential and pressure potential."
,Properties of Water,Hypotonic,Having a greater water potential than the surrounding solution.
,Properties of Water,Hypertonic,Having a lower water potential than the surrounding solution.
,Properties of Water,Isotonic,Having an equal water potential to the surrounding solution.
,Properties of Water,Osmosis,The tendency of water to move across membranes from areas of high water potential to ones of low.
,Organelles and the Endomembrane System,Prokaryotes; Prokayotic; Prokaryotic cells,"Simple cells that lack membrane-bound organelles and don't have a nucleus, letting DNA float freely throughout the cell."
,Organelles and the Endomembrane System,Eukaryotes; Eukaryotic; Eukaryotic cells,Complex cells that have both membrane-bound organelles and a nucleus to store their DNA.
,Organelles and the Endomembrane System,Organelles,Specialized structures in cells which can perform functions or partition the cell.
,Organelles and the Endomembrane System,Nucleus,Organelle used to protect DNA. Features a double membrane with pores for large macromolecules to pass through. Ships out mRNA.
,Organelles and the Endomembrane System,Ribosomes,Transcribes from mRNA to proteins.
,Organelles and the Endomembrane System,Endoplasmic reticulum; ER,A membrane extending from the nuclear envelope. Processes proteins and synthesizes and hydrolyzes many compounds.
,Organelles and the Endomembrane System,Golgi apparatus,"Finishes, sorts, tages, and ships out secretory vesicles."
,Organelles and the Endomembrane System,Vesicles,A membrane sac which can be used to store or ship things.
,Organelles and the Endomembrane System,Nucleolus,Produces ribosomes which exit through the nuclear pores.
,Organelles and the Endomembrane System,Rough ER; Rough,Produces proteins. Packages proteins into transport vesicles for export.
,Organelles and the Endomembrane System,Smooth ER; Smooth,Produces lipids and steroids.
,Organelles and the Endomembrane System,Cristae,I highly folded inner membrane of mitochondria.
,Organelles and the Endomembrane System,Mitochondria,Uses carbohydrates to produce ATP.
