Chapter,Term,Definition,
Unit 1 - Scientific Foundations of Psychology,Psychology,The science of behavior and mental processes.,
Unit 1 - Scientific Foundations of Psychology,Dorothea Dix; Dix,Established hospitals for treatment of the mentally ill.,
Unit 1 - Scientific Foundations of Psychology,Introspection,Examination of one's own thoughts and feelings.,
Unit 1 - Scientific Foundations of Psychology,Structuralism,School of thought promoted by Wundt and Titchner; used introspection to reveal the structure of the human mind.,
Unit 1 - Scientific Foundations of Psychology,Functionalism,"Early school of thought promoted by James and influenced by Darwin; explored how mental and behavioral processes function --how they enable the organism to adapt, survive, and flourish",
Unit 1 - Scientific Foundations of Psychology,Nature-nurture controversy; nature-nurture,The extent to which behavior results from experience.,
Unit 1 - Scientific Foundations of Psychology,Wilelm Wundt; Wundt,"Established the first psychology laboratory at the University of Leipzig, Germany. Structuralist.",
Unit 1 - Scientific Foundations of Psychology,Edward Bradford Titchener; Titchener,Used introspection to search for the mind's structural elements. Structuralist.,
Unit 1 - Scientific Foundations of Psychology,William James; James,Legendary teacher-writer who authored an important 1890 psychology text. Mentored Mary Whiton Calkins. Functionalist.,
Unit 1 - Scientific Foundations of Psychology,Mary Whiton Calkins; Calkins,Mentored by William James. Pioneering memory researcher and the first woman to be president of the American Psychological Association. Functionalist.,
Unit 1 - Scientific Foundations of Psychology,Margaret Floy Washburn; Washburn,"The first woman to receive a psychlogy Ph.D. Synthesized animal behavior research in ""The Animal Mind"" (1908). Structuralist.",
Unit 1 - Scientific Foundations of Psychology,John B. Watson and Rosalie Rayner; Watson and Rayner,"Working together, they championed psychology as the scientific study of behavior. Showed how fear could be learned, in experiments on a baby who became famous as ""Little Albert."" Behaviorist.",
Unit 1 - Scientific Foundations of Psychology,B. F. Skinner; Skinner,This leading behaviorist rejected introspection and studied how consequences shape behavior. Behaviorist.,
Unit 1 - Scientific Foundations of Psychology,Sigmund Freud; Freud,The controversial ideas of this famed personality theorist and therapist have influenced humanity's self-understanding. Psychoanalytic/psychodynamic.,
Unit 1 - Scientific Foundations of Psychology,Psychoanalytic approach; psychoanalytic; psychodynamic approach; psychodynamic,"A psychological perspective concerned with how unconscious instincts, conflicts, motives, and defenses influence behavior.",
Unit 1 - Scientific Foundations of Psychology,Behaviorism,The view that psychology (1) should be an objective science that (2) studies behavior without reference to mental processes. Most psychologists today agree with (1) but not with (2).,
Unit 1 - Scientific Foundations of Psychology,Humanistic approach; humanistic,Historically significant perspective the enphasized human growth potential.,
Unit 1 - Scientific Foundations of Psychology,Cognitive neuroscience,"The interdisciplinary study of the brain activity linked with congition (including perception, thinking, memory and language).",
Unit 1 - Scientific Foundations of Psychology,Charles Darwin; Darwin,Darwin argued that natural selection shapes behvaiors as well as bodies.,
Unit 1 - Scientific Foundations of Psychology,Evolutionary psychology; evolutionary,"The study of the evolution of behavior and the mind, using principles of natural selection.",
Unit 1 - Scientific Foundations of Psychology,Behavior Genetics,The study of the relative power and limits of genetic and environmental influences on behavior.,
Unit 1 - Scientific Foundations of Psychology,Culture,"The enduring behaviors, ideas, attitudes, values and traditions shared by a group of people and transmitted from one generation to the next.",
Unit 1 - Scientific Foundations of Psychology,Sociocultural approach; sociocultural,A psychological perspective concerned with how cultural differences influence behavior.,
Unit 1 - Scientific Foundations of Psychology,Positive psychology; positive,"The scientific study of of human functioning, with the goals of discovering and promoting strengths and virtues that help individuals ad communities to thrive.",
Unit 1 - Scientific Foundations of Psychology,Levels of analysis,"The differing complementary views, from biological to psychological to social-cultural, for analyzing any given phenomenon.",
Unit 1 - Scientific Foundations of Psychology,Biophsychosocial approach; biopsychosocial,"An integrated integrated approach that incorporates biological, psychological, and social-cultural levels of analysis.",
Unit 1 - Scientific Foundations of Psychology,Basic research,Pure science that aims to increase the scientific knowledge base.,
Unit 1 - Scientific Foundations of Psychology,Applied research,Scientiic study that aims to sole practical problems.,
Unit 1 - Scientific Foundations of Psychology,Counseling psychology; counseling,"A branch of psychology that assists people with problems in living (often related to school, work, or marriage) and in achieving greater well-being.",
Unit 1 - Scientific Foundations of Psychology,Clinical psychology; clinical,"A branch of psychology that studies, assesses, and treats people with psychological disorders.",
Unit 1 - Scientific Foundations of Psychology,Psychiatry,"A branch of medicine dealing with psychological disorders; practiced by physicians who sometimes provide medical (for example, drug) treatments as well as psychological therapy.",
Unit 1 - Scientific Foundations of Psychology,Community psychology,A branch of psychology that studies how people interact with their social environments and how social institutions affect individuals and groups.,
Unit 1 - Scientific Foundations of Psychology,Developmental psychologist,Studies psychological development throughout someone's lifespan.,
Unit 1 - Scientific Foundations of Psychology,Educational psychologist,Focuses on how effective teaching an learning take place.,
Unit 1 - Scientific Foundations of Psychology,Industrial psychology; organizational psychology; industrial; organizational,Aims to improve productivity and the quality of work life by applying psychological principles and methods to the workplace.,
Unit 1 - Scientific Foundations of Psychology,Psychometrician,Focuses on methods for collecting and analyzing psychological data like MBTI or IQ tests.,
Unit 1 - Scientific Foundations of Psychology,Intuition,"An effortless, immediate, automatic feeling or thought, as contrasted with explicit, conscious reasoning.",
