Unit,Category,Term,Definition
,Prelude: An Introduction to Modern World History,Achaemenid,"Refers to the ancient Persian Empire, known for its vast territory and strong central government. It was established by Cyrus the Great and later expanded under Darius I. The empire encompassed a diverse range of cultures and languages, but maintained a unified identity through the use of Greek language and culture."
,Prelude: An Introduction to Modern World History,Aegean Sea,"A sea located off the eastern coast of Europe and Asia, bordered by Greece, Turkey, and other countries. It is known for its rich history, including ancient civilizations such as the Greeks and Persians."
,Prelude: An Introduction to Modern World History,Ahimsa,"The principle of non-violence, is central to Indian religions such as Hinduism, Jainism, and Buddhism, which encourage individuals to be mindful of their actions and their impact on others."
,Prelude: An Introduction to Modern World History,Alexandria,"A city of ancient Egypt that served as a major center of trade, culture, and science during the Roman Empire. It was known for its famous library which contained many important works from around the world."
,Prelude: An Introduction to Modern World History,Athens,"A city-state in ancient Greece known for its powerful democracy, contributions to philosophy and art, and participation in the Peloponnesian War."
,Prelude: An Introduction to Modern World History,Bloodletting rituals,"A method of healing where blood is drained from the body, believed to balance and purify the individual."
,Prelude: An Introduction to Modern World History,Brahmins,"In ancient India, were the highest social class of priests, scholars, and teachers who performed rituals, wrote scriptures, and transmitted knowledge. They were considered to be the most learned and respected members of society, but also faced criticism for being elitist and oppressive."
,Prelude: An Introduction to Modern World History,Buddhism,"A religion that began in ancient India and spread to various parts of Asia, emphasizing meditation, compassion, and the pursuit of enlightenment."
,Prelude: An Introduction to Modern World History,Byzantine Empire,"After the Roman Empire. State that lasted from 330 AD to 1453 AD, known for its rich culture and influence on Eastern Christianity."
,Prelude: An Introduction to Modern World History,Caste system,"A social hierarchy based on birth, where individuals are assigned specific roles and positions within society that they cannot escape from throughout their lives."
,Prelude: An Introduction to Modern World History,Chichen Itza,"An ancient Mayan city located on the Yucatán Peninsula in Mexico, known for its impressive pyramids and advanced architectural techniques."
,Prelude: An Introduction to Modern World History,Christianity,"An ancient religion centered around Jesus Christ as its central figure, with beliefs about salvation, heaven, and hell."
,Prelude: An Introduction to Modern World History,Confucianism,"A philosophy and ethical system that emphasizes the importance of family, respect for authority, and maintaining social harmony through moral conduct."
,Prelude: An Introduction to Modern World History,Daoism,"An ancient Chinese religion based on the concept of yin and yang, with a belief in reincarnation and the pursuit of harmony between mind, body, and spirit."
,Prelude: An Introduction to Modern World History,Gupta,"One of many ancient empires that existed in India from approximately 327-550 CE, known for its great wealth and cultural influence on the region."
,Prelude: An Introduction to Modern World History,Hammurabi's Code,"A set of laws established by King Hammurabi of Babylon around 1754 BC. It consisted of 282 laws that addressed various aspects of daily life, including property rights, commerce, and justice. The code aimed to establish order and ensure fairness in society."
,Prelude: An Introduction to Modern World History,Han dynasty,"Ancient Chinese dynasty that ruled China from 206 BCE to 220 CE, known for its cultural and technological advancements, including papermaking, silk production, and hydraulic engineering."
,Prelude: An Introduction to Modern World History,Huns,"A group of nomadic people from Central Asia known for their military campaigns, horseback riding skills, and distinctive appearance. They played a significant role in shaping ancient history through conflicts with various civilizations."
,Prelude: An Introduction to Modern World History,Islam,"A monotheistic religion practiced by Muslims, based on the teachings of the Prophet Muhammad and the Quran."
,Prelude: An Introduction to Modern World History,Jainism,"A religion that emphasizes non-violence, truth, and karma. It originated in India around the 6th century BCE and has spread to other parts of Asia. Jains believe in achieving enlightenment through spiritual practices such as meditation and self-discipline. They also follow strict vegetarianism and avoid harming any living beings."
,Prelude: An Introduction to Modern World History,Jati,"A social class system prevalent in India during medieval times, where individuals were grouped based on their occupation and caste."
,Prelude: An Introduction to Modern World History,Jews,An ancient Abrahamic religious group whose beliefs and practices are centered around one God. Considered a diasporic community.
,Prelude: An Introduction to Modern World History,Kshatriyas,"A caste of warriors or rulers who served as the elite class in ancient India, known for their bravery and military prowess."
,Prelude: An Introduction to Modern World History,Kushan empire,"From Central Asia, existed from the 1st to 3rd century CE as a powerful state that stretched across India and parts of China."
,Prelude: An Introduction to Modern World History,Latifundia,"Large estates owned by wealthy individuals or companies in Italy, characterized by their expansive landholdings and agricultural production methods."
,Prelude: An Introduction to Modern World History,Legalism,"A political system based on strict rules, harsh punishments, and government control over every aspect of life."
,Prelude: An Introduction to Modern World History,Mahayana Buddhism,"A branch of Buddhism that originated in India and spread to East Asia, emphasizing compassion, equality, and the pursuit of enlightenment through various teachings and practices."
,Prelude: An Introduction to Modern World History,Maize,"A type of corn that originated from Central America and was domesticated by ancient civilizations, becoming an important staple food crop worldwide."
,Prelude: An Introduction to Modern World History,Mandate of Heaven,The belief that a ruler or government has been granted authority by divine powers and can be overthrown if they fail to rule justly.
,Prelude: An Introduction to Modern World History,Mauryan empire,"Was one of the largest empires in ancient India, lasting from 321-185 BCE. It is known for its efficient administration and promotion of Buddhism."
